Month,East_North_Central_NSA,East_North_Central_SA,East_South_Central_NSA,East_South_Central_SA,Middle_Atlantic_NSA,Middle_Atlantic_SA,Mountain_NSA,Mountain_SA,New_England_NSA,New_England_SA,Pacific_NSA,Pacific_SA,South_Atlantic_NSA,South_Atlantic_SA,West_North_Central_NSA,West_North_Central_SA,West_South_Central_NSA,West_South_Central_SA,USA_NSA,USA_SA
1993-09-01 00:00:00,113.08,112.1,111.83,110.98,102.39,101.43,119.54,119.17,96.85,95.99,97.7,96.98,106.18,105.45,112.35,111.4,109.47,108.75,107.27,106.45
1993-10-01 00:00:00,113.21,112.31,111.31,110.85,102.65,101.62,120.33,119.76,95.67,95.13,97.7,97.27,106.13,105.42,112.52,112,110.14,109.41,107.34,106.65
1993-11-01 00:00:00,113.51,112.85,112.18,111.59,102.57,101.76,121.13,120.91,97.15,96.27,97.01,96.86,106.46,105.64,112.94,112.48,110.48,109.77,107.6,106.99
1993-12-01 00:00:00,113.76,113.42,112.22,112.02,102.03,101.77,121.79,121.72,97.05,96.85,97.02,96.85,106.89,106.54,113.6,113.24,110.84,110.64,107.78,107.52
1994-01-01 00:00:00,113.96,114.1,112.75,112.79,102.36,102.48,122.25,122.55,96.01,96.02,96.73,96.82,106.55,106.43,113.59,113.78,110.46,110.47,107.71,107.77
1994-02-01 00:00:00,114.35,114.36,114.01,113.74,101.25,101.69,123.41,123.99,96.02,96.85,96.11,96.63,106.92,106.76,113.64,113.76,111.26,111.13,107.85,108.01
1994-03-01 00:00:00,115.07,114.73,114.11,113.64,101.7,101.53,124.44,124.89,97.67,97.79,96.41,96.53,107.42,107.04,115.13,114.75,112.21,112.06,108.55,108.36
1994-04-01 00:00:00,116.28,115.45,115.13,114.62,101.88,101.58,125.95,125.77,96.59,96.69,96.92,96.86,108.18,107.63,115.65,115.05,112.04,111.69,109.1,108.68
1994-05-01 00:00:00,117.11,115.96,115.57,115.03,102.6,101.89,127.71,127.26,97.21,96.96,96.81,96.43,108.17,107.81,116.14,115.38,113.45,112.67,109.67,109.04
1994-06-01 00:00:00,117.82,116.25,116.21,115.35,103.01,101.81,128.76,128.09,98.69,97.57,97.18,96.52,108.9,107.99,116.89,115.77,113.47,112.42,110.28,109.22
1994-07-01 00:00:00,117.86,116.52,116.46,115.71,103.35,101.92,129.09,128.54,98.03,97.16,97.06,96.26,109.08,108.3,117.52,116.25,113.37,112.35,110.38,109.35
1994-08-01 00:00:00,118.3,116.98,117.25,116.2,103.31,101.84,130.15,129.31,97.42,96.57,96.92,96.1,109.75,108.75,117.97,116.69,114.08,112.91,110.73,109.61
1994-09-01 00:00:00,118.34,117.26,116.92,116.09,102.23,101.3,130.47,129.93,97.55,96.72,96.96,96.29,109.72,108.92,117.66,116.63,113.71,112.97,110.54,109.69
1994-10-01 00:00:00,118.95,117.99,117.49,117.02,102.55,101.58,131.15,130.57,96.98,96.47,96.43,96.06,109.68,109,117.52,116.91,114.01,113.29,110.66,109.96
1994-11-01 00:00:00,119.07,118.42,118.26,117.68,101.65,100.99,131.26,131.12,97.06,96.4,95.85,95.74,110.38,109.61,118.3,117.78,114.24,113.51,110.75,110.18
1994-12-01 00:00:00,118.81,118.48,117.78,117.56,100.33,100.12,131.83,131.85,96.86,96.81,95.99,95.93,110.09,109.76,117.75,117.42,113.87,113.66,110.41,110.18
